category,name,glycemic_index,glycemic_load,calories (kcal),proteins (g),carbohydrates (g),fats (g)
Other,Yeast,35.0,6.3,105.0,8.0,18.0,1.9
Other,Brewer’s yeast,35.0,0.0,75.0,12.7,0.0,2.7
Other,Maltodextrin,95.0,94.0,380.0,0.0,99.0,0.0
Other,Palm pulp,20.0,1.2,354.0,3.4,6.2,33.5
Other,Omelette,49.0,7.3,210.0,14.0,15.0,2.1
Other,Dumplings,86.0,24.9,275.0,11.9,29.0,12.4
Other,Ravioli (from soft wheat),70.0,20.8,245.0,15.5,29.7,8.0
Other,Ravioli (from durum wheat),40.0,11.6,225.0,15.0,29.0,8.0
Other,Sushi,55.0,11.6,158.0,4.3,21.1,4.9
Other,"Sushi, salmon",48.0,7.3,129.0,9.2,15.2,3.6
Other,Tacos,70.0,14.0,226.0,9.0,20.0,13.0
Other,Tapioca (dried),85.0,74.6,350.0,0.2,87.0,0.0
Other,Taro,48.0,12.7,112.0,1.5,26.5,0.2
Other,Tahin,40.0,8.4,595.0,17.0,21.0,54.0
Other,Egg powder,60.0,2.7,542.0,46.0,4.5,37.3
Other,Egg,0.0,0.0,115.0,13.0,1.1,11.0
Vegetables,Avocado,10.0,0.9,160.0,2.0,9.0,15.0
Vegetables,Artichoke,20.0,1.2,28.0,1.2,6.0,0.1
Vegetables,Eggplant,20.0,1.7,35.0,0.8,8.7,0.2
Vegetables,Eggplant Caviar,40.0,5.3,146.0,1.7,13.3,5.1
Vegetables,"Sweet potato (batata, yam)",70.0,11.1,77.0,1.4,15.8,0.4
Vegetables,Broccoli,15.0,0.5,35.0,3.5,3.1,0.4
Vegetables,Broccoli (cooked),45.0,3.1,45.0,3.0,7.0,1.0
Vegetables,"Rutabaga, fodder beets",70.0,6.1,39.0,1.3,8.7,0.2
Vegetables,Brussels sprouts (fresh),15.0,1.1,36.0,2.5,7.1,0.5
Vegetables,Boiled potatoes,70.0,12.3,80.0,1.8,17.5,0.1
Vegetables,Baked potato,95.0,20.0,93.0,2.5,21.1,0.1
Vegetables,Squash caviar,75.0,3.6,83.0,1.3,4.8,8.1
Vegetables,Squash,15.0,0.7,24.0,0.6,4.6,0.3
Vegetables,Capers,20.0,0.8,30.0,2.1,4.2,0.5
Vegetables,White cabbage,15.0,0.9,24.0,1.2,5.8,0.1
Vegetables,Brussels sprouts,15.0,0.3,46.0,3.6,2.3,2.4
Vegetables,Sauerkraut,15.0,0.8,29.0,1.7,5.0,0.1
