web-scraper-order,web-scraper-start-url,category-href,category,name,glycemic_index,glycemic_load,calories,proteins (g),carbohydrates (g),fats (g)
1716369350-1,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Ragi,35,6.3,105,8,18,1.9
1716369350-2,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Ragi bir,35,0,75,12.7,0,2.7
1716369350-3,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Maltodekstrin,95,94,380,0,99,0
1716369350-4,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Palm pulp,20,1.2,354,3.4,6.2,33.5
1716369350-5,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Telur dadar,49,7.3,210,14,15,2.1
1716369350-6,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Pangsit,86,24.9,275,11.9,29,12.4
1716369350-7,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Ravioli (dari gandum lunak),70,20.8,245,15.5,29.7,8
1716369350-8,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Ravioli (dari gandum keras),40,11.6,225,15,29,8
1716369350-9,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Sushi,55,11.6,158,4.3,21.1,4.9
"1716369350-10,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,""Sushi, salmon"",48,7.3,129,9.2,15.2,3.6"
1716369350-11,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Taco,70,14,226,9,20,13
1716369350-12,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Tapioka (kering),85,74.6,350,0.2,87,0
1716369350-13,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Talas,48,12.7,112,1.5,26.5,0.2
1716369350-14,https://glycemic-index.net/glycemic-index-of-baked-products/,https://glycemic-index.net/glycemic-index-of-other-foods/,Lainnya,Tahini,40,8.4,595,17,21,54
